=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.02.04 17:01:17 =~=~=~=~=~=~=~=~=~=~=~=		
		
millis	 TempDHT	 TempThermo
MAX6675 test		
5249	25,4	27,25
6175	25,4	26,75
6720	25,4	27,5
7045	25,4	27
7372	25,1	26,75
7567	25,1	26,75
7732	25,1	26,75
7896	25,1	26,75
8050	25,1	26,75
8246	25,1	26,75
8360	25,1	26,75
8524	25,1	26,75
9883	25,1	27,25
10018	25,1	27,25
10163	25,1	27,25
10328	25,1	27,25
10462	25,1	27,25
10627	25,1	27,25
10781	25,1	27,25
10936	25,1	27,25
11081	25,1	27,25
11255	25,1	27,25
11410	25,1	27,25
11565	25,1	27,25
11710	25,1	27,25
11907	25,2	27,25
12011	25,2	27,25
12677	25,2	27,25
12812	25,2	27,25
12976	25,2	27,25
13151	25,2	27,25
13326	25,2	27,25
13491	25,2	27,25
13665	25,2	27,25
13840	25,2	27,25
14027	25,1	27,25
14182	25,1	27,25
14357	25,1	27,25
14541	25,1	27,25
14697	25,1	27,25
14871	25,1	27,25
15036	25,1	27,25
15211	25,1	27,25
16309	25,1	26,75
18479	25,3	27
22191	25,2	27
22706	25,2	27
22850	25,2	27
23005	25,2	27
23160	25,2	27
23324	25,2	27
23470	25,2	27
23775	25,2	27
23929	25,2	27
24103	25,2	27
24301	25,2	27
24426	25,2	27
24591	25,2	27
24785	25,2	27
24950	25,2	27
25135	25,2	27
25330	25,2	27
25504	25,2	27
25699	25,2	27
25894	25,2	27
26079	25,2	27
26297	25,2	27
26462	25,2	27
26636	25,2	27
26821	25,2	27
26985	25,2	27
27181	25,2	27
27385	25,2	27
27580	25,2	27
27785	25,2	27
27990	25,2	27
28194	25,2	27
28401	25,3	27
28546	25,3	27
28730	25,3	27
28905	25,3	27
29100	25,3	27
29275	25,3	27
29479	25,3	27
29674	25,3	27
29869	25,3	27
30084	25,3	27,25
30288	25,3	27,25
30525	25,3	26,5
30700	25,3	26,5
30905	25,3	26,5
31080	25,3	26,5
31264	25,3	26,5
31459	25,3	26,5
31674	25,3	27
31859	25,3	27
32033	25,3	27
32219	25,3	27
32403	25,3	27
32610	25,2	27
32744	25,2	27
32919	25,2	27
33154	25,2	27,25
33339	25,2	27,25
33513	25,2	27,25
33709	25,2	27,25
33923	25,2	26,5
34078	25,2	26,5
34223	25,2	26,5
34377	25,2	26,5
34511	25,2	26,5
34668	25,2	26,5
34763	25,2	26,5
34918	25,2	26,5
